timestamp,mse,r2,last_training
2025-03-26T13:55:47.380693,0.0,1.0,2025-03-26T13:55:47.378125
2025-03-26T16:52:34.848653,0.0478766666666664,-20.54449999999992,
2025-03-26T16:54:19.202640,0.0154477614682538,-0.8923507798611015,
2025-03-26T16:56:00.053833,0.0787285769230769,-0.274437691570881,
2025-03-26T16:57:39.659843,0.0644386669767933,-0.345523301930202,
2025-03-26T17:07:06.867546,0.0644386669767933,-0.345523301930202,
2025-03-26T17:24:28.343968,0.0440260899761432,-0.2635290396740652,
2025-03-26T17:25:34.043659,0.0440260899761432,-0.2635290396740652,
2025-03-26T18:26:30.821948,0.0202572754750176,0.7065730507321769,
2025-03-26T19:29:49.344644,0.0184074457854406,0.7287003073702656,
2025-03-26T20:41:03.080307,0.020258533386895004,0.7014178965915524,
